380,0.0576,0.0436,0.1039,0.1262,0.1047,0.1019,0.0583,0.1217,0.1026,0.0922,0.0418,0.116,0.0494,0.1307,0.0492,0.0957,0.1121,0.057,0.113,0.0686,0.1103,0.0527,0.0922,0.0324
390,0.0627,0.0459,0.1375,0.1861,0.1338,0.1453,0.0632,0.1793,0.1392,0.1125,0.0434,0.1612,0.0533,0.1565,0.0518,0.1205,0.1639,0.0622,0.1582,0.0776,0.1541,0.0561,0.1231,0.0332
400,0.0661,0.047,0.1964,0.3995,0.1839,0.2512,0.0674,0.3605,0.2183,0.1369,0.0433,0.2707,0.0554,0.1786,0.053,0.1629,0.3044,0.0667,0.2772,0.0881,0.2549,0.0576,0.1929,0.0329
410,0.0668,0.0475,0.2318,0.6249,0.2052,0.3194,0.0686,0.5048,0.2646,0.1412,0.0427,0.3333,0.0558,0.185,0.0529,0.1806,0.4008,0.0683,0.3477,0.0915,0.314,0.0576,0.237,0.0327
420,0.0664,0.048,0.2535,0.7914,0.2073,0.354,0.0696,0.5684,0.284,0.1366,0.0423,0.3531,0.0557,0.1812,0.0529,0.1859,0.4336,0.0688,0.367,0.0924,0.336,0.0574,0.2604,0.0323
430,0.0652,0.0491,0.2715,0.8579,0.2063,0.3801,0.0703,0.59,0.3004,0.1325,0.0429,0.3629,0.0552,0.1716,0.0535,0.1904,0.4393,0.0701,0.3643,0.0946,0.3501,0.0571,0.2846,0.0324
440,0.0648,0.0502,0.2845,0.8727,0.2059,0.3995,0.072,0.5968,0.3209,0.1287,0.0435,0.3701,0.0552,0.1565,0.0544,0.1955,0.4347,0.0725,0.3413,0.0968,0.3661,0.0574,0.3194,0.0326
450,0.0646,0.0518,0.2849,0.8723,0.2077,0.3999,0.0743,0.5947,0.3298,0.1254,0.0442,0.3704,0.0561,0.1419,0.0561,0.1961,0.4225,0.0759,0.313,0.0967,0.3818,0.0582,0.3478,0.0324
460,0.0658,0.0562,0.2737,0.8772,0.2149,0.385,0.0801,0.594,0.3287,0.1218,0.0464,0.3695,0.0601,0.1293,0.0624,0.1951,0.4072,0.0833,0.2832,0.0959,0.4085,0.0618,0.3835,0.0323
470,0.0687,0.0653,0.2519,0.8832,0.2293,0.3543,0.091,0.5935,0.3211,0.1175,0.0505,0.3677,0.0694,0.1151,0.0756,0.1936,0.387,0.0967,0.2552,0.095,0.4531,0.0698,0.4226,0.0323
480,0.0719,0.0766,0.2169,0.8873,0.2539,0.3073,0.1123,0.592,0.307,0.1129,0.0543,0.3652,0.0815,0.0985,0.0936,0.1918,0.3608,0.1222,0.224,0.0941,0.5087,0.0803,0.4455,0.0323
490,0.0735,0.0835,0.1749,0.8907,0.2885,0.2527,0.1523,0.591,0.2861,0.1087,0.0547,0.3639,0.089,0.0891,0.1243,0.1908,0.3413,0.17,0.1941,0.0935,0.5514,0.0926,0.4447,0.0321
500,0.0744,0.0881,0.1352,0.894,0.3259,0.2015,0.2204,0.5913,0.262,0.1042,0.0531,0.3644,0.0939,0.0817,0.2112,0.1911,0.3236,0.2552,0.1711,0.0935,0.5775,0.1121,0.4215,0.0321
510,0.0762,0.0976,0.1026,0.8958,0.341,0.1627,0.2986,0.5918,0.2397,0.0987,0.0515,0.3656,0.105,0.0674,0.3514,0.192,0.2934,0.3695,0.1519,0.0937,0.5832,0.1407,0.3823,0.032
520,0.0795,0.1199,0.0741,0.8985,0.3188,0.1329,0.3523,0.5936,0.2164,0.0934,0.051,0.3676,0.1322,0.0544,0.4757,0.1934,0.2598,0.4813,0.1279,0.0941,0.5731,0.2008,0.3331,0.032
530,0.0823,0.1474,0.0552,0.8988,0.2813,0.1123,0.3624,0.5936,0.1977,0.0907,0.0511,0.3684,0.1634,0.0507,0.5626,0.1939,0.2435,0.5507,0.1064,0.0942,0.5503,0.3015,0.2796,0.0321
540,0.0841,0.1684,0.0469,0.9001,0.2657,0.0999,0.3426,0.5935,0.1873,0.0901,0.0502,0.3687,0.1739,0.0501,0.613,0.1942,0.237,0.5735,0.0992,0.0941,0.5205,0.3871,0.2283,0.032
550,0.0874,0.1953,0.0432,0.9007,0.2713,0.0915,0.3079,0.5924,0.1781,0.0895,0.0487,0.3683,0.1669,0.0456,0.6382,0.1942,0.218,0.5651,0.1022,0.0937,0.4823,0.4283,0.1815,0.0319
560,0.0946,0.2498,0.0401,0.8985,0.2707,0.0844,0.2684,0.5896,0.1637,0.0891,0.049,0.3672,0.1536,0.0411,0.6545,0.1941,0.1875,0.5392,0.1027,0.0932,0.4347,0.4557,0.1418,0.0319
570,0.1086,0.341,0.0389,0.9013,0.2823,0.0801,0.2309,0.5899,0.1517,0.0998,0.0553,0.3687,0.1415,0.0398,0.674,0.1961,0.1631,0.5078,0.1098,0.0935,0.3887,0.496,0.1148,0.032
580,0.1259,0.4415,0.0391,0.9011,0.336,0.0782,0.1929,0.5876,0.146,0.1521,0.0748,0.3682,0.1315,0.0406,0.6892,0.1969,0.1562,0.4674,0.1454,0.0933,0.3457,0.5435,0.098,0.032
590,0.1415,0.5244,0.0397,0.9029,0.4191,0.078,0.1569,0.5859,0.1454,0.2658,0.1261,0.3673,0.1226,0.0438,0.702,0.197,0.1685,0.4213,0.2223,0.0929,0.3061,0.5892,0.0876,0.032
600,0.1508,0.5756,0.0401,0.9041,0.4904,0.078,0.1283,0.5841,0.1434,0.4009,0.2239,0.3652,0.1139,0.0541,0.711,0.1957,0.1976,0.3765,0.3288,0.0921,0.2659,0.622,0.0799,0.032
610,0.1549,0.5998,0.0403,0.9042,0.5334,0.0776,0.1111,0.5818,0.1379,0.5035,0.3503,0.3621,0.1072,0.0832,0.7168,0.1936,0.2426,0.3443,0.4383,0.0909,0.2312,0.6408,0.0748,0.032
620,0.1573,0.6089,0.0413,0.9034,0.5515,0.0773,0.1025,0.5792,0.132,0.5592,0.4545,0.3586,0.1037,0.1194,0.7207,0.1909,0.2789,0.3259,0.5218,0.0897,0.2085,0.6505,0.0725,0.0319
630,0.1597,0.6119,0.0439,0.9027,0.5602,0.0787,0.0983,0.5765,0.1296,0.5824,0.5159,0.3549,0.1026,0.143,0.7245,0.1882,0.3047,0.316,0.5798,0.0885,0.1952,0.656,0.0714,0.0319
640,0.1623,0.6136,0.0487,0.904,0.5727,0.0833,0.0955,0.5744,0.1329,0.5903,0.5569,0.3515,0.1023,0.1613,0.7283,0.1857,0.3365,0.3091,0.6336,0.0874,0.1861,0.6608,0.0712,0.0319
650,0.1641,0.6149,0.056,0.9052,0.5896,0.0911,0.0939,0.5723,0.1416,0.5921,0.5914,0.3482,0.1019,0.1824,0.7309,0.1833,0.374,0.3044,0.6879,0.0863,0.1791,0.6652,0.0722,0.0319
660,0.1652,0.617,0.0645,0.9063,0.6059,0.1018,0.0951,0.5707,0.1521,0.5923,0.6191,0.3454,0.1024,0.2076,0.7336,0.1812,0.4047,0.3069,0.7335,0.0854,0.1762,0.6705,0.0742,0.0319
670,0.1649,0.6189,0.0712,0.9052,0.6158,0.1158,0.0995,0.5684,0.1578,0.5911,0.6376,0.3422,0.1034,0.2365,0.7343,0.1789,0.4134,0.3174,0.7635,0.0844,0.1771,0.6752,0.0752,0.0319
680,0.1634,0.6208,0.0745,0.9048,0.6199,0.1343,0.1058,0.5658,0.1571,0.5893,0.6499,0.3388,0.1039,0.2693,0.7319,0.1766,0.4001,0.3318,0.7805,0.0834,0.1809,0.6794,0.0746,0.0318
690,0.1619,0.6228,0.0775,0.9048,0.6224,0.1586,0.1122,0.5632,0.1521,0.5871,0.6584,0.3354,0.1042,0.3042,0.7307,0.1743,0.385,0.3455,0.7904,0.0825,0.1869,0.6836,0.0733,0.0318
700,0.1622,0.6272,0.0851,0.9068,0.627,0.1901,0.1172,0.5623,0.1452,0.5871,0.667,0.3332,0.1048,0.3402,0.7371,0.1726,0.3868,0.3562,0.8004,0.0818,0.193,0.6909,0.0718,0.0318
710,0.1638,0.6311,0.0981,0.908,0.6297,0.2271,0.1182,0.5612,0.1403,0.5865,0.6739,0.3309,0.105,0.3728,0.7431,0.1708,0.4032,0.3585,0.8077,0.0811,0.1969,0.6972,0.0712,0.0318
720,0.1651,0.6326,0.1149,0.9067,0.6284,0.2682,0.1151,0.5585,0.1435,0.5842,0.6777,0.3277,0.1043,0.3989,0.7449,0.1689,0.4263,0.3515,0.8106,0.08,0.1981,0.6997,0.0735,0.0315
730,0.1665,0.6324,0.1344,0.9053,0.6254,0.3082,0.1134,0.5559,0.156,0.5808,0.6793,0.3243,0.1039,0.4181,0.7445,0.167,0.454,0.3464,0.8111,0.0795,0.2011,0.7,0.0795,0.0317